RA;TEL1;TEL2;TEL3;ENDERECO;ROTA;OBSERVACOES
1202503627SP;;;;;;
1229500303SP;;;;;;
1200526673SP;;;;;;
1215052972SP;;;;;;
1223862628SP;;;;;;
1216824782SP;;;;;;
1213781358SP;;;;;;
1230864167SP;;;;;;
1230869335SP;;;;;;
1230890257SP;;;;;;
1230890816SP;;;;;;
1231943646SP;;;;;;
1232007353SP;;;;;;
1232032438SP;;;;;;
1232040253SP;;;;;;
1233560633SP;;;;;;
1223872117SP;;;;;;
1233783671SP;;;;;;
1225090994SP;;;;;;
1233638774SP;;;;;;
1233619391SP;;;;;;
1243568410SP;;;;;;
1229516177SP;;;;;;
1210742032SP;;;;;;
1208488168SP;;;;;;
1211248392SP;;;;;;
1223869866SP;;;;;;
1214354038SP;;;;;;
1217949793SP;;;;;;
1217970460SP;;;;;;
1225999637SP;;;;;;
1232018302SP;;;;;;
1232028563SP;;;;;;
1232036699SP;;;;;;
1232043886SP;;;;;;
1233694893SP;;;;;;
1234337757SP;;;;;;
1225907287SP;;;;;;
1222978532SP;;;;;;
1241219989SP;;;;;;
1208831616SP;;;;;;
1232583984SP;;;;;;
1223888095SP;;;;;;
1233571126SP;;;;;;
1208249502SP;;;;;;
1232013572SP;;;;;;
1232685847SP;;;;;;
1225935283SP;;;;;;
1216899198SP;;;;;;
120848753XSP;;;;;;
1210847966SP;;;;;;
1213685618SP;;;;;;
1223871745SP;;;;;;
1223872567SP;;;;;;
1232098085SP;;;;;;
123209867XSP;;;;;;
1232008916SP;;;;;;
1232020801SP;;;;;;
1233584431SP;;;;;;
1210742615SP;;;;;;
123209674XSP;;;;;;
120956757XSP;;;;;;
1206785263SP;;;;;;
1210848557SP;;;;;;
1204226544SP;;;;;;
1208733837SP;;;;;;
1240234867SP;;;;;;
1206440107SP;;;;;;
1232096155SP;;;;;;
1232015052SP;;;;;;
1230888834SP;;;;;;
121532120XSP;;;;;;
1230889553SP;;;;;;
1232034034SP;;;;;;
1217950527SP;;;;;;
1223871617SP;;;;;;
1217970162SP;;;;;;
1230869190SP;;;;;;
1207407653SP;;;;;;
1232006488SP;;;;;;
1232010996SP;;;;;;
1223873250SP;;;;;;
1230870155SP;;;;;;
1230887787SP;;;;;;
1228027924SP;;;;;;
1233583906SP;;;;;;
1230886515SP;;;;;;
1231295557SP;;;;;;
1232132068SP;;;;;;
1223921128SP;;;;;;
1231138920SP;;;;;;
1226027167SP;;;;;;
1230869633SP;;;;;;
1230929605SP;;;;;;
1233573457SP;;;;;;
1233314282SP;;;;;;
1230886990SP;;;;;;
1246753613SP;;;;;;
1200433221SP;;;;;;
1213686064SP;;;;;;
1225411701SP;;;;;;
1217369983SP;;;;;;
1218339032SP;;;;;;
1217360311SP;;;;;;
1200213646SP;;;;;;
